seed,STD,True,ARMA,Informer,Informer_para,RNN
46,1.3446402343530814,"[2.8137127642240065, -0.047749592330057045, -1.0955737735196776, -1.5325422459220963, -1.482447853598284, 1.7497486260458175, 3.2227051311515513, 2.045243991798609, -0.2059593156666384, -0.19616392221062062]","[1.806391032244124, 1.2675300096239235, -0.8734477868169073, -0.5143099794948421, -0.9233883551502011, -0.7295207189449474, 1.97432328483293, 1.674874580221986, 0.6237602432533423, -0.6188095755502503]","[1.0297854, 1.4731474, -0.18173775, -1.4703859, -1.7522864, -0.83630913, 3.3573976, 2.518892, 2.704093, 1.4802145]","(50, 10)","[1.6960842609405518, 1.5193753242492676, -0.6619610786437988, -0.5662517547607422, -0.6806720495223999, -0.5453276634216309, 1.6979933977127075, 1.552268385887146, 0.43957534432411194, -0.5352325439453125]"
84,1.422026254970603,"[1.7657596647186145, 0.80593265424549, -0.49099348239789453, -0.6131802149332892, -0.8930455165630119, 0.3785499607319385, -0.9713944955957852, -1.5850208204140368, -1.3141875053091447, 0.4742749949797309]","[1.1868901270762575, 0.7626990371639784, 0.16356557756345913, -0.5892751786800983, -0.16233802217228793, -0.6732721299686545, 0.8039957134532832, -1.3924917347862193, -0.5540909496024881, -0.7321475274869262]","[0.70349336, 1.5346866, 0.9847524, -1.1013743, -0.77336836, -0.7145829, 2.1485567, -0.876902, -0.92440313, -1.1339239]","(50, 10)","[1.2888356447219849, 0.6477788686752319, -0.04649367183446884, -0.3772979974746704, -0.11740782111883163, -0.8024696707725525, 0.8623984456062317, -1.2958664894104004, -0.6207382678985596, -0.601941704750061]"
93,1.3246879054886862,"[0.20159081728108763, -0.832456530206572, -2.34844928464669, -2.406744084546449, -0.626592421845463, -0.004427805454655487, -0.28116451627828387, -0.6482656161166611, -1.5171044233122044, -3.143487794109255]","[0.595424953252961, -0.21354165075029516, -0.6627042494130758, -1.6853620546989365, -1.1050245879281169, 0.2366410515033153, -0.08846207416375293, -0.23876621576282497, -0.4213096374250091, -1.099191184232291]","[0.4865967, -1.0971705, 0.20951189, -1.3358501, -1.5285466, 0.4033193, -0.48008457, -0.874834, -0.58048856, -1.5546861]","(50, 10)","[0.3511563539505005, -0.28699445724487305, -0.7756234407424927, -1.7916715145111084, -0.9465773105621338, 0.6115679740905762, -0.05572322756052017, -0.3148193359375, -0.22819086909294128, -1.0394984483718872]"
50,1.4237243350878943,"[-1.1074164950471894, -1.667247989755705, 0.19933135239435407, 2.6694384717533595, 0.5175092354803723, -3.05929763846666, -2.1261798332655144, -1.5593888249869532, -0.17739849212898062, -0.0876300162353374]","[-1.294546947347922, -0.23660740117292256, -1.0893862621223604, 1.1065212946828797, 2.135269274893738, -1.0983658675986212, -2.767990953569546, -0.07843375280379772, -0.6458314683957294, 0.5954661034302408]","[-1.9186411, 0.5158637, -0.825035, 0.7879296, 1.9379598, -0.03225567, -0.76025677, 0.20388956, 0.10174091, 1.3503543]","(50, 10)","[-1.4515787363052368, -0.11896546185016632, -1.066591739654541, 1.102777361869812, 2.4568183422088623, -0.8088445663452148, -3.3141632080078125, 0.08848200738430023, -0.7664377689361572, 0.6284744739532471]"
55,1.3822759836443945,"[0.9385057848644893, 0.4611060020433973, -0.7800011553020153, -1.16336574100135, 0.24006685469578415, 0.9343065873976425, 1.7347838283635246, 1.392368765525556, 0.9443571039674578, 1.4741979605798183]","[0.01919977144050522, 0.9445939943766618, -0.19160403014056093, -0.7725985027704652, -0.5591570283854266, 0.7551200249281451, 0.5078446919972052, 1.136495259810522, 0.3652250066196633, 0.3369149255735505]","[0.96621335, 0.028010197, -0.1244608, -1.726179, -0.8509349, 0.883486, -0.12821132, 1.7283835, 1.2932687, 1.1098675]","(50, 10)","[-0.0389707088470459, 1.0696014165878296, -0.03671926259994507, -0.9575436115264893, -0.5521754026412964, 0.825657308101654, 0.5292788147926331, 0.9939066171646118, 0.3999147415161133, 0.3983546197414398]"
44,1.3644829644086718,"[-0.5056082778797509, -2.0875265911689587, -1.0587424355010804, -0.5779309381379442, -0.9511686886023605, 1.2944907615656183, 0.7781956316766037, -0.40165013354457113, -0.7305511989994586, -1.953595362675893]","[0.9066305752729582, -1.220804902115266, -1.24685542134551, 0.05879457662006826, -0.28627994091444703, -0.5946582445800904, 1.619375445852434, -0.2692493333530508, -0.43113926174704276, -0.3794094163824284]","[1.0643811, -1.0481913, -1.2849456, -0.1348371, -0.4960423, -1.8746246, -1.268736, -2.9810784, -2.749568, -1.1816158]","(50, 10)","[1.0403010845184326, -1.071689248085022, -1.139609456062317, -0.20138156414031982, -0.34538841247558594, -0.5741130113601685, 1.4360218048095703, -0.28637635707855225, -0.21972441673278809, -0.46254265308380127]"
56,1.3500853936583646,"[1.1277697917032894, -0.6167016375988958, -2.2454707975740966, -1.7216037819454042, -0.2057979258287624, -0.6431066014382045, -0.994871653897775, 0.13107371707070214, 0.08136512881196556, -0.40860584270981265]","[1.4932332608483412, -0.1504634607184563, -0.7908307717772567, -1.5521188279192026, -0.34009359626404556, 0.40560701180921566, -0.6943650736795459, -0.4511481429464359, 0.563564792873223, -0.19104600163434404]","[1.5078717, -1.5554522, 0.10296123, -0.3749135, -1.1142235, 0.6777123, -0.27426875, -0.80877197, -0.22063668, -1.8389155]","(50, 10)","[1.6652567386627197, -0.20546063780784607, -0.8912239074707031, -1.4743742942810059, -0.4343467652797699, 0.2181139588356018, -0.7188334465026855, -0.5753816366195679, 0.7326804399490356, -0.19136397540569305]"
69,1.383717866711555,"[-0.16234568459449816, -0.2936882445415183, -2.30238624114441, -1.693834438789145, 0.2620232653263378, 2.012165567982864, -0.002596373005707031, -0.5044192760117522, 0.890082937014962, 1.8203041144753023]","[0.5385776662267012, -0.46650508160318493, -0.07899953763253081, -1.931383819672047, -0.26434543832379964, 0.8215413297056062, 1.477075973637032, -1.0280614757278665, -0.16448201862144365, 0.9856732512105051]","[1.144037, -1.4221058, -0.034837667, -1.5303477, -1.0677941, -0.13980532, -0.6635782, -1.8440089, -1.4739408, 0.29716656]","(50, 10)","[0.6520655155181885, -0.620139479637146, 0.25134479999542236, -2.1259307861328125, -0.45923954248428345, 0.645539402961731, 1.5366617441177368, -1.353249430656433, 0.1543673872947693, 0.9147642850875854]"
65,1.363527022809888,"[3.4335508773089245, 3.144454023541827, 0.841010547351804, -1.5892790549141784, -1.825150136671232, -1.909472434156661, -2.6573631781809595, -2.932104031235805, -2.411024914237837, -0.6711922413533821]","[1.515136408143694, 1.8802918530708168, 1.0210281135174508, -0.6121721800885074, -1.453917775986262, -0.5947901336837977, -0.8917008022466039, -1.4290476028421009, -1.2573490423714384, -0.7783930596770302]","[2.876022, 2.9656203, 3.5870972, 0.135777, -2.8566692, -0.48709142, -0.71831906, -1.8899693, -2.1252859, -0.41213262]","(50, 10)","[1.5228254795074463, 1.4294945001602173, 0.6881712675094604, -0.570931077003479, -1.7965260744094849, -0.4972696602344513, -0.9616656303405762, -1.4064996242523193, -1.2810473442077637, -0.8777388334274292]"
41,1.36239777665657,"[2.018166804797763, 0.26567622443363115, -0.9204996471380374, -1.0915786321448933, 0.09451775061611134, 0.31135675102023463, 0.4124258015615632, 0.7819182881710262, -0.06601750429049408, -1.0093415460830055]","[1.3271865846138056, 1.263780137117525, -0.7674561645015447, -0.6235334351298745, -0.48828947810733353, 0.5594706410122898, 0.05697221970524784, 0.2554370235623691, 0.4849397830804102, -0.4451383881405852]","[0.8814046, 1.909096, -0.15147723, -0.97326666, -0.73511696, 0.912845, 0.2956639, -0.07902738, 0.6472973, -2.043969]","(50, 10)","[0.9633764028549194, 1.511901617050171, -0.6596715450286865, -0.7436490654945374, -0.5009973049163818, 0.602863609790802, -0.004106439650058746, 0.32554805278778076, 0.5297649502754211, -0.6405806541442871]"
42,1.3386361738476482,"[-0.06858052528652114, -1.9751580636656185, -2.034305230401492, -1.3042183002903787, -1.4179465516388512, -1.0646669975907521, 1.5073995488094774, 2.3797839958092455, 0.4982002654262605, -0.0017346807961412525]","[-0.2685296915967154, 0.06565910261822842, -1.7805181278289597, -0.620154301716403, -0.43043333500711806, -0.7865157732484593, -0.2974669693579119, 1.726179748188485, 1.0658881156080082, -0.5575718719782329]","[-0.2613596, 1.9695721, -1.9218475, -1.0897323, -0.89215285, -1.1852564, -1.0108532, 1.1232649, 1.8650053, 0.20607239]","(50, 10)","[-0.21736463904380798, 0.25025802850723267, -1.843759298324585, -0.6700981855392456, -0.3890511691570282, -0.5282785296440125, -0.15558770298957825, 1.2952187061309814, 1.1599041223526, -0.4820414185523987]"
97,1.346269871982606,"[-1.5808474741224197, -1.2290528862580499, 1.346181297541957, 1.1976573512813244, 0.3366372538547029, -0.6307799657498392, 0.1618084638687156, 0.2954837610351196, -0.2282927930042342, -0.06259748933095696]","[-1.3072190918419822, -0.6144420137771317, -0.6147636498973463, 1.604485878754506, 0.11279911560358014, 0.10107224788031996, -0.5985218386087331, 0.5006276465609918, 0.002299345065271241, -0.2558098988499508]","[-1.4155166, -2.0635247, -1.1513033, 1.1620133, -0.54297435, 0.5236897, 0.25148025, 1.4951911, -0.31149516, -0.9498859]","(50, 10)","[-1.2328181266784668, -0.5794866681098938, -0.5904069542884827, 1.931962251663208, -0.15935534238815308, -0.04411190748214722, -0.5865288376808167, 0.4412829279899597, -0.18201476335525513, -0.21296560764312744]"
80,1.3800733163726169,"[-0.5613858153862623, -0.790461367838833, -1.0409663342353854, -0.5568659070484537, -0.5045889880848211, -2.70230625342549, -1.7096012135254275, 0.5860291433465896, 0.6817901070537535, 0.15430797407978392]","[0.6363220475105552, -0.8645520132644269, -0.30950265344731037, -0.6585186266447235, -0.13649868971573442, -0.3112248078802307, -2.3493995155345595, -0.1597158148071387, 0.894719307759013, 0.03574995230204431]","[0.5235702, -1.7097757, -1.1269367, -0.27744493, 0.15423518, -0.55872434, -1.5938104, -1.9044245, -0.5624495, -0.66534823]","(50, 10)","[0.4949835538864136, -1.0948535203933716, -0.25973135232925415, -0.6473579406738281, 0.05160420387983322, -0.25272905826568604, -2.146979331970215, -0.1011928990483284, 0.6501371264457703, 0.0424603596329689]"
76,1.3420000508657615,"[0.6284462840705773, 2.832357135252855, 0.7838583994273636, -2.4008159710761228, -1.276424057037398, 0.9441756474293519, 0.29418363882198173, 1.4631129432888905, -0.06437190747572186, -3.4901185360827855]","[-0.43410549494865536, 1.0343134684345907, 1.8900248873363792, -0.7766820192063408, -1.942701428483001, 0.2798901000575116, 0.9958580867254501, -0.39571301078534116, 1.3888995388129208, -0.9937534763617181]","[-0.025056086, 1.7453326, 1.6506407, -0.12777777, 0.8067348, 0.14860006, 3.088323, 2.1273396, -0.33100218, -3.6123817]","(50, 10)","[-0.8006865978240967, 1.299527645111084, 1.846407175064087, -1.211679458618164, -1.6916519403457642, 0.30153876543045044, 0.9651607275009155, -0.49979227781295776, 1.5359224081039429, -1.0145362615585327]"
66,1.3655500123751905,"[-0.8265169580268706, -1.396541205475884, -0.9167166386413339, -1.5898361819775375, -1.0119721880242576, 0.02266458331775667, -1.046561352298553, -1.9815628641834506, -0.8337163979212412, 0.7585149439450467]","[0.057208584614709956, -0.8765536993483297, -0.7143457384110743, -0.19403583117458034, -1.1529109777513697, -0.05343773901871579, 0.29910821987339936, -1.0943175271912702, -1.1086830003595143, 0.19069423532696345]","[0.6664591, -1.586361, -1.4015667, -0.5942446, -0.971934, -0.98831934, -1.8004743, -1.7436655, -1.157023, -0.67089885]","(50, 10)","[0.06781849265098572, -0.9514540433883667, -0.5129129886627197, -0.21713939309120178, -0.9121193885803223, -0.037279993295669556, 0.323801726102829, -0.995801568031311, -0.9708585739135742, 0.13993629813194275]"
79,1.3603093240020805,"[0.3212783034069509, 0.925336215464605, 1.413339881835395, 0.8285967290848415, -0.5435592959054865, -0.056201819171468714, 1.8646355226437261, 1.9385548012576812, 0.9224280275059789, -0.15752934733504564]","[-0.020878058660068977, 0.1995012737120827, 0.6804373652498913, 0.8080295946710735, 0.09369686379923348, -0.7785961949221885, 0.3154936541067953, 1.618595078210279, 0.7463944748024586, 0.024758454252039375]","[-0.07468592, 1.1520365, 1.3104951, 0.4827563, 1.7442895, 0.77236456, 2.1285734, 2.6252387, 2.2521317, 0.19311506]","(50, 10)","[-0.36823880672454834, 0.39392775297164917, 0.9348161816596985, 0.7499925494194031, 0.20706631243228912, -1.026103138923645, 0.3357352018356323, 1.8519850969314575, 0.7962827682495117, 0.23467735946178436]"
29,1.4241516309299491,"[-0.3838494298390033, -0.8209339735103687, -0.29288624789992923, -0.0011933479864128516, -0.21558756453364483, -0.17361018908784606, 1.3877131053933396, 2.1533300994088713, 0.6818409273858781, 0.9164525058305746]","[-0.6444171644428858, 0.13447758071923782, -0.780661098213375, 0.28706017567068354, -0.0907570427572727, -0.1596847561649396, -0.04078152977932764, 1.3872118206961348, 1.0713009097000374, -0.3327560713990486]","[-0.0050322562, -0.474744, -2.358035, -0.2750414, 0.3452221, 0.18495752, 0.11594189, 1.2781936, 1.3373841, -0.6311157]","(50, 10)","[-0.3764995336532593, -0.006356433033943176, -0.5727733373641968, 0.1624673753976822, 0.09441991150379181, -0.10109499096870422, 0.005594685673713684, 1.2588883638381958, 1.0499268770217896, -0.32170480489730835]"
95,1.3527163661945392,"[-1.8408205377327054, -0.03628414253457146, 0.47017977591069965, -2.5357434101446676, -2.625633797650085, -2.178204033737437, -0.8323780526776967, 1.887831065411457, 0.7018165890233634, -1.0450361336430805]","[-0.4618821122228167, -1.0395328575333243, 0.8195158568388687, 0.10628075812606153, -2.414362866492451, -0.7737494317514252, -1.0161757398574354, 0.17485658361555428, 1.814781226655481, -0.5450072462707811]","[-0.37254032, -1.8421383, 0.13137315, 1.003909, -0.8116356, -0.6866721, -0.9281289, -0.15087683, 1.3586366, -1.0566424]","(50, 10)","[-0.3363363742828369, -0.9045324325561523, 0.7477209568023682, 0.19955188035964966, -2.425584077835083, -0.7467837333679199, -0.6876521110534668, 0.15261352062225342, 1.8002419471740723, -0.2870557904243469]"
96,1.3842297579222222,"[-1.2741581362232641, -0.735933208541081, 0.27360876414691276, 0.4293168106664177, 1.612928681231648, 2.462793050964408, 1.3723185701398026, 2.5126341570302753, 3.22601166774103, 1.4886932623391762]","[0.11799775593264265, -1.2075134731034063, 0.21385354676782886, 0.3417462030610175, 0.17023055749834345, 1.3331804668721332, 1.2734274262552403, 0.05595109619423633, 2.009168061722254, 1.4511184805595319]","[0.31208676, -1.9763061, 0.25475344, 0.42622545, -0.6274799, 0.8463858, 1.196238, 0.31945115, 2.6625586, 2.3983827]","(50, 10)","[0.16297808289527893, -1.275353193283081, 0.09763368964195251, 0.5044921636581421, 0.30975082516670227, 1.3518192768096924, 1.2489795684814453, 0.05228951573371887, 1.7525254487991333, 1.2531204223632812]"
43,1.3798143151542852,"[0.2356787515456633, -1.4567976706763466, -0.6717081563961931, 0.7491927737602012, 1.8401161990665307, 1.2543654619093307, 0.4236550841755755, -0.2638848934160358, -1.8015295186173412, -1.6143054619232844]","[0.8936651462468591, -0.35428310519226647, -1.279244770599619, 0.2924188010381349, 0.7753355250100179, 1.1856339804439269, 0.16920222514247685, -0.03971924748551117, -0.35275853312716343, -1.454892218359085]","[0.5507425, -1.2222592, -2.3318186, -1.1834916, -1.30948, -0.9715017, -0.77440274, 0.08232498, 1.2895496, 0.43816623]","(50, 10)","[1.018518090248108, -0.403560608625412, -1.2974436283111572, 0.25673508644104004, 0.8959208726882935, 0.9741599559783936, 0.2871730327606201, 0.13803769648075104, -0.3766838014125824, -1.4389393329620361]"
49,1.3901957791837116,"[2.14139299167754, 0.737526324612608, -2.695596445213911, -2.1341644105411124, 0.6657921220924975, 1.325673640268029, 0.9371901206099983, 1.7274604421408803, 1.7147301263003336, 0.6381771095028151]","[0.8043065297502421, 1.3395788166162892, -0.27351603363580324, -2.487694272643738, -0.16550447105785415, 1.3650768305006822, 0.37386154486518586, 0.18461263562942287, 1.279748431601233, 0.7093535348876685]","[1.2376792, 3.0979774, 0.96905077, -2.7004824, 0.22426547, 0.5655999, -1.1749462, -1.1378069, 0.4075882, -0.33538553]","(50, 10)","[0.6352253556251526, 1.3026123046875, -0.3162033259868622, -2.887585401535034, -0.24178364872932434, 1.525344967842102, 0.9399268627166748, 0.2547451853752136, 1.335950255393982, 0.6409183144569397]"
99,1.3902497571355088,"[0.8573606561197087, 2.6652747225376228, 2.553801771180517, 0.32072359499827585, -0.3090027839208697, -0.5610798974268356, -1.999372983436337, -0.9593340330067425, -1.5437940233328593, -1.4610008393222689]","[-0.5237227771612865, 1.2423107810850893, 1.6509003690628252, 1.1761509544410473, -0.5929358291054603, 0.06798005798962059, -0.5236989517524206, -1.5293754614183677, 0.1929094815182859, -1.4944723451869706]","[-0.6061447, 1.6146804, 2.4421911, 1.9078974, 0.62020886, 2.4509513, 2.7425582, 1.1397557, 1.1644083, -0.67391676]","(50, 10)","[-0.4773560166358948, 1.3196744918823242, 1.822274088859558, 1.0574668645858765, -0.6570486426353455, 0.003830842673778534, -0.389198899269104, -1.3783551454544067, 0.22181928157806396, -1.2665988206863403]"
58,1.3807380231171904,"[-1.1360804360825063, -2.3528033865031404, -1.9444738901971435, -0.3170785714627838, 0.2701104409570658, 0.5509030547183833, -0.37519938614217074, -0.22247583389512038, 0.902296877008832, 1.680020654510379]","[-0.6361283293190341, -0.6256766683026819, -1.7362583247077172, -0.6454829527424687, 0.2508216102327069, 0.10380298281709237, 0.42100224289725163, -0.6234307203926153, 0.1645999395763101, 0.790045941427334]","[-0.24682258, -1.6071695, -3.278851, -2.6805074, -0.5752013, 0.6997849, 0.7227585, -1.3761744, -0.99408805, -0.21377535]","(50, 10)","[-0.5900550484657288, -0.7469921708106995, -1.6499710083007812, -0.6530570387840271, 0.08921653032302856, 0.23311303555965424, 0.16784490644931793, -0.8744837641716003, 0.18123680353164673, 0.8752557635307312]"
72,1.4036388551103933,"[0.33601750436686517, 0.44696086144959624, 1.5477168592623303, 0.9089844435908385, 0.08969874285455368, 1.1288989688706905, 1.1573235341285844, 0.644995806543942, 0.8025087475155676, 0.618384834647737]","[-0.49659825434637983, 0.7360499890535325, -0.06723705786356618, 1.329858565555967, -0.2534944331774924, -0.0009779421810754696, 0.998846954159118, 0.24665470792049013, 0.17872211707993674, 0.47878352028263726]","[-0.15203632, 1.5574187, 0.98763275, 1.7153015, -0.4506324, 1.3765017, 0.7697599, 1.0493292, 1.102783, 0.74290067]","(50, 10)","[-0.5577863454818726, 0.7296618223190308, -0.11422762274742126, 1.3389663696289062, -0.38818785548210144, 0.2155614197254181, 0.9095332622528076, 0.39949020743370056, 0.26906701922416687, 0.590656042098999]"
60,1.3839907325444984,"[0.9526084233240861, 0.08244639626527595, 0.7032575939323291, 0.9462779478182216, -1.4780112925573055, -0.929984919829518, 0.30529261319500667, 0.7760026384822799, 0.49816301967014687, -0.9583953158693476]","[1.3741617108691773, -0.10197888306584102, -0.18363411824272108, 0.6623081591677501, 0.3771236888739974, -1.7332503232646692, 0.2682474062920792, 0.45503369845356384, 0.42305677290189525, 0.04595024273991749]","[1.0720757, -0.40718403, 0.4087773, -0.61824214, -0.28316602, -0.39491284, 0.30389675, 0.7427222, 0.4438304, -1.521105]","(50, 10)","[1.3847031593322754, 0.036996498703956604, -0.16089743375778198, 0.7665889859199524, 0.3393684923648834, -1.681467056274414, 0.5451954007148743, 0.5436299443244934, 0.36643800139427185, 0.024894028902053833]"
74,1.321188088258831,"[-0.5623526981463747, 0.37797869313613547, 0.4125857230772335, -0.8539702986625579, 0.6425177323652328, 1.4567042111346191, 1.2699117989303987, -0.32059603873438003, -0.461653773125066, -0.21328967629013376]","[-1.2582413580074092, 0.12240112919997226, 0.41680326545425717, 0.11208656180232766, -0.8937070487489676, 1.1141285327451378, 0.6956856715903534, 0.5043533329580804, -0.77776461699481, -0.029698015836541164]","[-0.7661426, 0.43118417, 0.9996688, -0.8396561, -0.24807298, 0.70658904, 0.028626893, 0.6851343, -0.16616996, 0.9993542]","(50, 10)","[-1.250375509262085, -0.027418017387390137, 0.5110460519790649, 0.23347178101539612, -0.8740997314453125, 1.2528272867202759, 0.7275842428207397, 0.562261164188385, -0.7679541110992432, -0.2228395640850067]"
38,1.3775747584652875,"[-1.5664670941876349, 0.15243834229327857, 0.983753246404777, -0.5436373409011893, 0.8970963991631993, -0.0952211032098027, 0.27406666345592756, 0.8660951032587624, -0.13081336499192697, 0.48545526971877406]","[-0.6373852795941993, -0.9784189595590161, 0.8215565121874283, 0.43617073690507185, -0.8732063213861858, 1.4038207891099832, -0.9518759748078693, 0.7639177765445756, 0.39430071579467296, -0.4594376747348362]","[-0.9004129, -1.8652337, 1.0288274, 0.42782444, -1.2195401, 0.4754888, -0.9328131, 0.11639067, -0.31148487, 0.19020636]","(50, 10)","[-0.6529752612113953, -0.9803963899612427, 0.8712044358253479, 0.6343012452125549, -0.8047718405723572, 1.3410403728485107, -0.6904985308647156, 0.6859565377235413, 0.528287947177887, -0.6170252561569214]"
91,1.3493854194575674,"[-1.1289669884288405, -0.3500837920234936, 0.3588623852690576, 0.6709128788251884, -0.7690741376259973, -0.999432036295885, -1.3230171276914775, 1.9302983069410935, 2.4770209522318285, -1.8142838600653524]","[-0.7757707519459813, -0.6065385173319822, 0.13701538160932414, 0.2903648387283267, 0.4316250299227421, -1.0308934604405149, -0.33671038309439766, -0.9317240756429412, 2.423428609526753, 0.9256807681473089]","[-0.4013688, -0.85546136, 0.80725485, 0.33208475, -0.16518885, -1.8674039, -0.6641815, -0.14686906, 0.54162186, 0.043388225]","(50, 10)","[-0.8744667768478394, -0.456012487411499, 0.31508466601371765, 0.40535828471183777, 0.22614139318466187, -1.1612145900726318, -0.1928468644618988, -0.9336549043655396, 2.230802536010742, 0.7518662214279175]"
39,1.325351824307974,"[-0.12378478423108075, 0.9491369505089282, 0.6007481699702958, -0.820814645641097, -1.45030813379365, -1.3368299005403044, -0.17220820268879794, 0.5880687080090562, -0.20713407563941955, -1.009909872293798]","[-0.8326665834789205, 0.42770203431381704, 0.6580917841987213, 0.03171962886869523, -0.8248017396106548, -0.6957426568620172, -0.48811688754975413, 0.3578405254477042, 0.40278354600850125, -0.4476025218927207]","[-0.21511212, 1.3315604, 1.0480535, -0.64880586, -0.96077377, -1.410507, -1.6147615, -1.4926103, -1.5407802, -0.3946367]","(50, 10)","[-0.6523240804672241, 0.5470138788223267, 0.6582551002502441, 0.06987166404724121, -0.8414621353149414, -0.637519359588623, -0.41377925872802734, 0.4363825023174286, 0.5233738422393799, -0.612969160079956]"
57,1.404172809424837,"[0.7691340464710884, 0.340600860179081, 0.8267172167726493, 0.6635427933439457, 0.6719199264570652, 0.6416426284352383, 0.8824718242536251, -0.2160054395044846, -0.8160575970590329, -1.6902358651616616]","[-0.5756662577390124, 1.0554053436725186, -0.32285430640109547, 0.7543110795960487, 0.0614807356347043, 0.3729992154203001, 0.2300017557116876, 0.5088611178550742, -0.6585295026157592, -0.42745986164642813]","[-0.37068844, 1.3701866, 0.4885711, 0.9073566, 0.812473, 0.30617332, -1.0971216, -0.39805573, 1.879124, 0.79654205]","(50, 10)","[-0.6059310436248779, 0.9883394241333008, -0.2404346466064453, 0.7166569232940674, 0.17784249782562256, 0.42496156692504883, 0.304595947265625, 0.5039820671081543, -0.6543283462524414, -0.5043909549713135]"
